LOD entries,Base forms,Grammatical category
TANKSTELL1,Tankstell,feminine noun
TATTA1,Tatta,feminine noun
TAXI1,Taxi,masculine noun
TEI1,Téi,masculine noun
TELEE1,Tëlee,feminine noun
TELEFON1,Telefon,masculine noun
TELEFONSNUMMER1,Telefonsnummer,feminine noun
TESCHENT1,tëschent,preposition
THEATER1,Theater,masculine noun
THERMOMETER1,Thermometer,masculine noun
THON1,Thon,masculine noun
TIMBER1,Timber,masculine noun
TIPPTOPP1,tipptopp,adjective
TOMAT1,Tomat,feminine noun
TOMATENZOPP1,Tomatenzopp,feminine noun
TOUR1,Tour,masculine noun
TOURISTESCH1,touristesch,adjective
TRADITIONELL1,traditionell,adjective
TRAFICK1,Trafick,masculine noun
TRAINEIEREN1,trainéieren,verb
TRAITEUR1,Traiteur,masculine noun
TRAITEUSE1,Traiteuse,feminine noun
TRANCHE1,Tranche,feminine noun
TUB1,Tüb,masculine/feminine noun
TUT3,Tut,feminine noun
UEBST1,Uebst,neutral noun
UELEG1,Ueleg,masculine noun
UFANK1,Ufank,masculine noun
UFANKEN1,ufänken,verb
UM1,um,
UM2,um,preposition
UMELLEN1,umellen,verb
UNI1,Uni,feminine noun
USTRAICHER1,Usträicher,masculine noun
USTRAICHERIN1,Usträicherin,feminine noun
VAKANZ1,Vakanz,feminine noun
VEGETARIER1,Vegetarier,masculine noun
VEGETARIERIN1,Vegetarierin,feminine noun
VEIEREL1,Véierel,masculine noun
VELO1,Vëlo,masculine noun
VERBINDUNG1,Verbindung,feminine noun
VERGIESSEN1,vergiessen,verb
VERKAFEN1,verkafen,verb
VERKEEFER1,Verkeefer,masculine noun
VERKEEFERIN1,Verkeeferin,feminine noun
VILL1,vill,adverb
VILL2,vill,indefinite pronoun
VILLMOOLS1,villmools,adverb
VIR3,vir,preposition
VIRDRUN1,virdrun,adverb
VIRNUMM1,Virnumm,masculine noun
VIRWAL1,Virwal,feminine noun
VUM1,vum,
VUN1,vun,preposition
WAARDEN1,waarden,verb
WAARM1,waarm,adjective
WAASSER2,Waasser,neutral noun
WAERTEN1,wäerten,modal verb
WAIN1,Wäin,masculine noun
WAISS1,wäiss,adjective
WAIT1,wäit,adjective
WANNECHGELIFT1,wannechgelift,particle
WANTER1,Wanter,masculine noun
WANTERSPORT1,Wantersport,masculine noun
WASCHEN1,wäschen,verb
WAT1,wat,interrogative pronoun
WAT3,wat,conjunction
WEEKEND1,Weekend,masculine noun
WEI2,wéi,conjunction
WEI3,wéi,interrogative pronoun
WEI8,wéi,conjunction
WEINI1,wéini,adverb
WEISEN1,weisen,verb
WELLEN1,wëllen,verb
WELLEN3,wëllen,modal verb
WESSEN2,wëssen,verb
WESTEN1,Westen,masculine noun
WICHTEG1,wichteg,adjective
WIDDERHUELEN1,widderhuelen,verb
WIEDER1,Wieder,neutral noun
WIEM1,wiem,interrogative pronoun
WIEN1,wien,interrogative pronoun
WOCH1,Woch,feminine noun
WOU1,wou,adverb
WUER2,wuer,adverb
WUNNEN1,wunnen,verb
ZAIT1,Zäit,feminine noun
ZALOT1,Zalot,feminine noun
ZANNDOKTER1,Zänndokter,masculine noun
ZANNDOKTESCH1,Zänndoktesch,feminine noun
ZANNSEEF1,Zännseef,feminine noun
ZANT1,Zant,masculine noun
ZANTER1,zanter,preposition
ZEIDEG1,zeideg,adjective
ZEITUNG2,Zeitung,feminine noun
ZEITUNGSBUTTEK1,Zeitungsbuttek,masculine noun
ZENTER1,zënter,preposition
ZENTILITER1,Zentiliter,masculine noun
ZENTRUM1,Zentrum,masculine noun
ZESUMMEN1,zesummen,adverb
ZIGARETT1,Zigarett,feminine noun
ZITROUN1,Zitroun,feminine noun
ZOOSSISS1,Zoossiss,feminine noun
ZOPP1,Zopp,feminine noun
ZORT1,Zort,feminine noun
ZU1,zu,preposition
ZUCH1,Zuch,masculine noun
ZUM1,zum,

