LOD entries,Base forms,Grammatical category
DENN1,dënn,adjective
DENSCHDEG1,Dënschdeg,masculine noun
DENSCHDES1,dënschdes,adverb
DEPPCHEN1,Dëppchen,neutral noun
DESCH1,Dësch,masculine noun
DESSERT1,Dessert,masculine noun
DEZEMBER1,Dezember,masculine noun
DIER1,Dier,feminine noun
DIREKT2,direkt,adverb
DIREKTER1,Direkter,masculine noun
DIREKTESCH1,Direktesch,feminine noun
DISKO1,Disko,feminine noun
DO1,do,adverb
DO6,Do,masculine noun
DOBAI1,dobäi,strong pronominal adverb
DOHEEM2,doheem,adverb
DOHEEMBLEIWEN1,doheembleiwen,verb
DOKTER1,Dokter,masculine noun
DOKTESCH1,Doktesch,feminine noun
DONNESCHDEG1,Donneschdeg,masculine noun
DONNESCHDES1,donneschdes,adverb
DONO1,dono,strong pronominal adverb
DOSEN1,Dosen,feminine noun
DOSSIER1,Dossier,masculine noun
DRAUF1,Drauf,feminine noun
DRECHEN1,dréchen,adjective
DRENKEN1,drénken,verb
DU1,du,adverb
DUECHTER1,Duechter,feminine noun
DUERCH3,duerch,preposition
DUERNO1,duerno,strong pronominal adverb
DUSCH1,Dusch,feminine noun
DUSCHEN1,duschen,verb
ECK1,Eck,masculine noun
EDUCATEUR1,Educateur,masculine noun
EDUCATRICE1,Educatrice,feminine noun
EE1,Ee,neutral noun
EEMOL1,eemol,adverb
ELEKTRIKER1,Elektriker,masculine noun
ELEKTRIKERIN1,Elektrikerin,feminine noun
ELENG1,eleng,adjective
ELLEN1,ellen,adjective
ELO1,elo,adverb
ELTEREN1,Elteren,noun
EMGEIGEND1,Ëmgéigend,feminine noun
EMMER1,ëmmer,adverb
EMPLOYE1,Employé,masculine noun
EMPLOYEE1,Employée,feminine noun
ENKEL1,Enkel,masculine noun
ENKELIN1,Enkelin,feminine noun
ENKELKAND1,Enkelkand,neutral noun
ENN1,Enn,neutral noun
ENN2,Ënn,feminine noun
ENTREE1,Entrée,feminine noun
EPPES1,eppes,indefinite pronoun
EREISCHT1,eréischt,adverb
ERWACHEN1,erwächen,verb
ESOU1,esou,adverb
ESTHETICIEN1,Estheticien,masculine noun
ESTHETICIENNE1,Estheticienne,feminine noun
EURO1,Euro,masculine noun
EWEI1,ewéi,conjunction
EXTRA3,extra,adverb
FAMILL1,Famill,feminine noun
FAMILLJENNUMM1,Familljennumm,masculine noun
FANKEN1,fänken,verb
FANNEN1,fannen,verb
FASTFOOD1,Fastfood,masculine noun
FEBRUAR1,Februar,masculine noun
FEIERDAG1,Feierdag,masculine noun
FEIEREN1,feieren,verb
FEIWER1,Féiwer,feminine/neutral noun
